Loc_id,Location
1,Miền Bắc
2,Miền Trung
3,Miền Nam
4,Hà Nội
5,Hồ Chí Minh
7,Hải Phòng
8,Bắc Kạn
9,Bắc Giang
10,Bắc Ninh
11,Cao Bằng
12,Điện Biên
13,Hà Giang
14,Hà Nam
15,Hải Dương
16,Hòa Bình
17,Hưng Yên
18,Lai Châu
19,Lạng Sơn
20,Lào Cai
21,Nam Định
22,Ninh Bình
23,Phú Thọ
24,Quảng Ninh
25,Sơn La
26,Thái Bình
27,Thái Nguyên
28,Tuyên Quang
29,Vĩnh Phúc
30,Yên Bái
31,Đà Nẵng
32,Bình Định
33,Bình Phước
34,Bình Thuận
35,Đắc Lắk
36,Đắk Nông
37,Gia Lai
38,Hà Tĩnh
39,Khánh Hòa
40,Kon Tum
41,Lâm Đồng
42,Nghệ An
43,Ninh Thuận
44,Phú Yên
45,Quảng Bình
46,Quảng Nam
47,Quảng Ngãi
48,Quảng Trị
49,Thanh Hóa
50,Huế
51,Vinh
52,Bình Dương
53,Cần Thơ
54,An Giang
55,Vũng Tàu
56,Bạc Liêu
57,Bến Tre
58,Cà Mau
59,Đồng Nai
60,Đồng Tháp
61,Hậu Giang
62,Kiên Giang
63,Long An
64,Sóc Trăng
65,Tây Ninh
66,Tiền Giang
67,Trà Vinh
68,Vĩnh Long